Site_Code,Collect Date (local),Water Temperature (�,E = Estimate; W = Warning; P = Provisional
Elliott_DN,2/17/2017,7.19,
Elliott_DN,2/18/2017,6.94,
Elliott_DN,2/19/2017,6.47,
Elliott_DN,2/20/2017,5.99,
Elliott_DN,2/21/2017,5.87,
Elliott_DN,2/22/2017,5.57,
Elliott_DN,2/23/2017,4.94,
Elliott_DN,2/24/2017,5.12,
Elliott_DN,2/25/2017,5.44,
Elliott_DN,2/26/2017,5.54,
Elliott_DN,2/27/2017,5.23,
Elliott_DN,2/28/2017,5.32,
Elliott_DN,3/1/2017,6.01,
Elliott_DN,3/2/2017,6.13,
Elliott_DN,3/3/2017,6.53,
Elliott_DN,3/4/2017,6,
Elliott_DN,3/5/2017,5.68,
Elliott_DN,3/6/2017,5.49,
Elliott_DN,3/7/2017,5.28,
Elliott_DN,3/8/2017,5.41,
Elliott_DN,3/9/2017,5.92,
Elliott_DN,3/10/2017,6.8,
Elliott_DN,3/11/2017,6.55,
Elliott_DN,3/12/2017,6.87,
Elliott_DN,3/13/2017,7.03,
Elliott_DN,3/14/2017,7.55,
Elliott_DN,3/15/2017,8.48,
Elliott_DN,3/16/2017,7.66,
Elliott_DN,3/17/2017,6.49,
Elliott_DN,3/18/2017,7.66,
Elliott_DN,3/19/2017,6.55,
Elliott_DN,3/20/2017,6.36,
Elliott_DN,3/21/2017,7.01,
Elliott_DN,3/22/2017,7.11,
Elliott_DN,3/23/2017,6.81,
Elliott_DN,3/24/2017,7.27,
Elliott_DN,3/25/2017,7.09,
Elliott_DN,3/26/2017,6.95,
Elliott_DN,3/27/2017,7.32,
Elliott_DN,3/28/2017,7.05,
Elliott_DN,3/29/2017,7.73,
Elliott_DN,3/30/2017,7.51,
Elliott_DN,3/31/2017,7.12,
Elliott_DN,4/1/2017,7.25,
Elliott_DN,4/2/2017,7.32,
Elliott_DN,4/3/2017,7.02,
Elliott_DN,4/4/2017,7.16,
Elliott_DN,4/5/2017,7.68,
Elliott_DN,4/6/2017,7.68,
